device_id,sensitivity_label,sensor_name,sensor_type,device_type,location,timestamp,value,unit,status
35c3dee3-0b58-4ddb-b71a-cb627ed163f3,Sensitive,RFID_patient_tracker,location_tracking,location_tracking_device,Ward,2025-06-22T22:24:55.435760,73.66,%,idle
953120f5-d9e7-43cf-8cfa-e041c8ac2bd9,Sensitive,RFID_patient_tracker,location_tracking,location_tracking_device,Ward,2025-06-25T14:54:55.435890,ON,°C,idle
6d6f46f1-f524-4a2a-9f22-e0c474d26a0e,Non-sensitive,temperature_sensor,temperature,temperature_device,Server Room,2025-06-20T13:30:55.436043,18.15,%,active
b542fadc-8b2a-4452-8ce4-c6768934fb5a,Non-sensitive,humidity_sensor,environmental,environmental_device,Data Center,2025-06-22T07:48:55.436438,ON,bpm,offline
b6fa9848-fbc6-4f12-b638-343c04cfc280,Non-sensitive,temperature_sensor,temperature,temperature_device,Server Room,2025-06-23T13:29:55.436903,OFF,lux,idle
240c8fd9-9299-4614-bd56-b59616d82a5d,Non-sensitive,energy_meter,power_monitor,power_monitor_device,Branch Office,2025-06-19T04:09:55.437311,ON,boolean,active
607b81e1-55fe-4b62-8a5a-9fcd139644cc,Non-sensitive,energy_meter,power_monitor,power_monitor_device,Branch Office,2025-06-23T02:02:55.439116,77.69,bpm,offline
3bc95f79-b131-42ca-adbc-a94adc86acfd,Sensitive,cash_counter_sensor,weight,weight_device,Teller Counter,2025-06-20T14:13:55.439372,OFF,°C,offline
d5b908d5-7622-4b80-8e55-60812c7c4203,Sensitive,vault_door_sensor,access_control,access_control_device,Vault,2025-06-21T04:27:55.439706,83.03,kWh,active
0dab434d-5aaa-40fe-8215-8de1420fc144,Sensitive,ECG_sensor,biometric,biometric_device,ER,2025-06-25T00:40:55.439777,59.25,lux,active
2718c1f1-9b49-4d01-853c-7d68d52fea19,Sensitive,ventilator,respiratory,respiratory_device,ICU,2025-06-21T20:41:55.439823,OFF,bpm,offline
186ce1cb-a133-4f95-9078-51589e2b18fb,Non-sensitive,room_temp_sensor,temperature,temperature_device,Ward,2025-06-25T16:04:55.439852,ON,°C,active
777a51ea-9e6d-45ae-a49b-bd24afc2c200,Sensitive,infusion_pump,drug_delivery,drug_delivery_device,Patient Room,2025-06-20T00:33:55.439888,59.88,boolean,active
96da27d4-995a-4abe-89af-6be91343477c,Non-sensitive,room_temp_sensor,temperature,temperature_device,Ward,2025-06-21T18:40:55.439923,52.54,°C,offline
cd39fc39-f0fc-460b-b2f5-a234f6bbf5a6,Sensitive,motion_detector,motion,motion_device,Lobby,2025-06-23T08:09:55.439953,ON,°C,offline
b666bab6-9846-4297-a309-77f1f275ed10,Non-sensitive,humidity_sensor,environmental,environmental_device,Data Center,2025-06-23T19:18:55.439988,ON,lux,offline
e3512089-781a-4c12-843a-ac6fa319d0bf,Sensitive,atm_camera,video,video_device,ATM,2025-06-24T05:58:55.440020,ON,boolean,offline
9053ca49-17b8-4dd7-aa25-0f5971deea6b,Non-sensitive,humidity_sensor,environmental,environmental_device,Data Center,2025-06-23T14:28:55.440046,4.44,boolean,offline
f3aeb647-08e7-4d56-9fe6-e9d50ec552f6,Sensitive,infusion_pump,drug_delivery,drug_delivery_device,Patient Room,2025-06-22T01:59:55.440087,OFF,°C,offline
4f2f517e-e907-4106-ab25-54290462fa87,Non-sensitive,light_sensor,lighting,lighting_device,Office,2025-06-22T14:49:55.440122,79.73,kWh,active
34eb97d1-8de6-443d-81ba-949ec41dcdca,Sensitive,nurse_call_button,signal,signal_device,Bedside,2025-06-21T19:55:55.440139,ON,kWh,active
bdcb8f9a-15af-4d7c-870d-f4e7d392c3b4,Non-sensitive,humidity_sensor,environmental,environmental_device,Data Center,2025-06-22T07:23:55.440164,ON,boolean,offline
8965bf38-5559-4507-bd40-db7a07e9d1c1,Sensitive,RFID_patient_tracker,location_tracking,location_tracking_device,Ward,2025-06-18T19:38:55.440199,75.6,kWh,offline
0734f069-3846-471e-a2a6-a540b0d1f485,Non-sensitive,air_quality_sensor,environmental,environmental_device,Lab,2025-06-25T10:50:55.440232,ON,%,idle
04e0fa08-35a3-4ae2-acbe-a46c46525ba1,Sensitive,ECG_sensor,biometric,biometric_device,ER,2025-06-19T00:05:55.440248,ON,kWh,active
a22a7254-cb21-48e9-836c-3704c2bdbeaa,Sensitive,RFID_patient_tracker,location_tracking,location_tracking_device,Ward,2025-06-19T02:10:55.440264,23.46,bpm,active
cb4bb4e9-210d-4846-bbb2-dded5180655e,Non-sensitive,energy_meter,power_monitor,power_monitor_device,Branch Office,2025-06-25T06:48:55.440299,ON,kWh,offline
78d9c4f4-70bb-4a02-a438-9273eb995f18,Non-sensitive,air_quality_sensor,environmental,environmental_device,Lab,2025-06-24T01:01:55.440333,ON,boolean,active
a8ecd4a7-643d-4596-9b45-953c8ae8f065,Sensitive,patient_monitor,biometric,biometric_device,ICU,2025-06-20T10:23:55.440362,ON,boolean,active
80dd3fd8-a397-4653-939e-168b191ad810,Non-sensitive,refrigerator_sensor,storage_monitor,storage_monitor_device,Pharmacy,2025-06-23T15:48:55.440396,OFF,%,offline
f4fde7a7-86f5-43cd-b02a-930bcd1811b8,Non-sensitive,humidity_sensor,environmental,environmental_device,Data Center,2025-06-23T15:47:55.440430,ON,°C,offline
