device_id,sensor_name,sensor_type,device_type,location,timestamp,value,unit,status,sensitivity_label
956d1fb0-4386-470d-96d7-bbf5f34808e1,humidity_sensor,environmental,environmental_device,Data Center,2025-06-20T08:22:45.902502,ON,bpm,active,Non-sensitive
4424096e-1db2-45a6-99f9-3478d4df69bc,patient_monitor,biometric,biometric_device,ICU,2025-06-22T18:05:45.902574,ON,°C,offline,Sensitive
8a5c914c-0ab6-4be8-bea9-9ea8f146e39b,ECG_sensor,biometric,biometric_device,ER,2025-06-24T02:20:45.902604,ON,kWh,active,Sensitive
f98536b9-98e8-49a2-be53-8ad512077e12,humidity_sensor,environmental,environmental_device,Data Center,2025-06-19T10:16:45.902624,OFF,bpm,active,Non-sensitive
4b9d89d1-cfbc-4f18-8742-b2c6da259b18,biometric_access_reader,biometric,biometric_device,Entrance,2025-06-19T16:51:45.902654,OFF,bpm,idle,Sensitive
e5ab7428-282d-4e45-b45c-f2eacb6e3de4,door_sensor,access_control,access_control_device,Operating Room,2025-06-19T13:38:45.902692,OFF,bpm,active,Sensitive
76d41a3c-1c17-4e6c-af70-47133d8be1a5,atm_camera,video,video_device,ATM,2025-06-19T07:35:45.902715,OFF,°C,active,Sensitive
e7e1f1bf-4aee-48d5-b40b-ddb8ae7b39cf,nurse_call_button,signal,signal_device,Bedside,2025-06-21T18:33:45.902757,22.31,°C,offline,Sensitive
f403ac4c-035f-4def-aee9-344e5d010834,light_sensor,lighting,lighting_device,Office,2025-06-23T10:10:45.902795,ON,bpm,active,Non-sensitive
17d872bb-c1a8-4734-b68e-137d7df5e42b,door_sensor,access_control,access_control_device,Operating Room,2025-06-21T08:47:45.902819,OFF,lux,offline,Sensitive
a1ae8a0b-51d4-4591-9f0a-b55cf31346dc,vault_door_sensor,access_control,access_control_device,Vault,2025-06-21T13:13:45.902837,42.08,°C,idle,Sensitive
1113f1d1-0778-4c90-ae1b-ebcdd6d478a4,atm_camera,video,video_device,ATM,2025-06-23T21:22:45.902851,19.12,%,active,Sensitive
d7d12ecc-e77d-4191-bdbf-d51ac1a7abb9,RFID_patient_tracker,location_tracking,location_tracking_device,Ward,2025-06-18T02:43:45.902865,53.93,bpm,active,Sensitive
6a9c6273-1337-41d8-add8-c8c51b600e46,air_quality_sensor,environmental,environmental_device,Lab,2025-06-18T07:00:45.902879,OFF,boolean,offline,Non-sensitive
462cce6f-6be6-4ceb-90b5-a5255a934ded,motion_detector,motion,motion_device,Lobby,2025-06-20T15:30:45.902914,OFF,%,offline,Sensitive
6f557d63-a322-447e-a47f-70c660345584,motion_detector,motion,motion_device,Lobby,2025-06-22T10:36:45.902931,OFF,boolean,offline,Sensitive
51958c9c-0c4b-483d-a77a-5353c0520647,refrigerator_sensor,storage_monitor,storage_monitor_device,Pharmacy,2025-06-22T12:30:45.903095,ON,°C,active,Non-sensitive
7ad13474-e297-491c-ada0-85d905b6873b,RFID_patient_tracker,location_tracking,location_tracking_device,Ward,2025-06-19T00:44:45.903232,14.3,bpm,idle,Sensitive
5bc555fd-95da-4bad-b509-3076b9df0ca6,ventilator,respiratory,respiratory_device,ICU,2025-06-22T20:30:45.903311,69.22,%,idle,Sensitive
4b6dd2e8-d888-4683-be34-b8795bd80511,motion_detector,motion,motion_device,Lobby,2025-06-21T00:36:45.903338,OFF,boolean,offline,Sensitive
1366ff96-8ab8-449b-8147-8fe4df810e9f,humidity_sensor,environmental,environmental_device,Data Center,2025-06-24T10:03:45.903358,OFF,lux,idle,Non-sensitive
82b3be0f-b1af-4220-a47b-209788f35e86,air_quality_sensor,environmental,environmental_device,Lab,2025-06-22T16:46:45.903394,ON,°C,idle,Non-sensitive
809daacd-e124-476c-813f-09a704887a68,room_temp_sensor,temperature,temperature_device,Ward,2025-06-20T02:42:45.903424,OFF,°C,offline,Non-sensitive
80512b3a-b938-4a0f-b3c9-7413cadd7af5,ventilator,respiratory,respiratory_device,ICU,2025-06-22T09:35:45.903466,16.84,boolean,idle,Sensitive
7e3eddfb-71a2-4da5-ae76-995c842eadb3,infusion_pump,drug_delivery,drug_delivery_device,Patient Room,2025-06-24T10:26:45.903510,ON,lux,idle,Sensitive
